               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.014676,            0.007794,           0.0043702,             0.97571,             0.97984,             0.98864,             0.90703,             0.01047,           0.0047524,           0.0020718,            0.002245,            0.002245,            0.002245
                  96,            0.014652,           0.0077069,           0.0043073,             0.97579,             0.98008,             0.98867,             0.90742,            0.010465,            0.004747,           0.0020609,           0.0021625,           0.0021625,           0.0021625
                  97,            0.014418,           0.0077278,           0.0042442,             0.97513,             0.98151,             0.98869,             0.90759,            0.010456,           0.0047405,           0.0020499,             0.00208,             0.00208,             0.00208
                  98,            0.014225,           0.0076382,           0.0041315,             0.97527,             0.98111,             0.98873,             0.90783,            0.010448,           0.0047342,           0.0020392,           0.0019975,           0.0019975,           0.0019975
                  99,            0.014129,           0.0075919,           0.0041178,             0.97494,             0.98204,             0.98874,             0.90835,            0.010436,           0.0047282,           0.0020284,            0.001915,            0.001915,            0.001915
                 100,            0.013873,           0.0075135,           0.0039933,             0.97493,             0.98197,             0.98876,             0.90872,            0.010428,           0.0047214,           0.0020167,           0.0018325,           0.0018325,           0.0018325
                 101,            0.013894,           0.0074245,            0.004017,             0.97569,             0.98162,             0.98877,             0.90907,            0.010415,           0.0047145,           0.0020047,             0.00175,             0.00175,             0.00175
                 102,            0.013597,           0.0073914,           0.0039237,             0.97558,             0.98173,             0.98876,             0.90926,            0.010413,           0.0047101,           0.0019929,           0.0016675,           0.0016675,           0.0016675
                 103,            0.013626,           0.0074035,           0.0038814,             0.97555,             0.98172,             0.98876,              0.9093,            0.010409,           0.0047064,           0.0019806,            0.001585,            0.001585,            0.001585
                 104,            0.013489,           0.0073782,           0.0038614,             0.97507,             0.98224,             0.98875,             0.90937,            0.010401,           0.0047018,            0.001969,           0.0015025,           0.0015025,           0.0015025
                 105,            0.013237,            0.007286,           0.0037862,             0.97534,             0.98182,             0.98878,             0.90936,            0.010398,           0.0046966,           0.0019563,             0.00142,             0.00142,             0.00142
                 106,            0.013133,           0.0072574,           0.0037298,             0.97536,             0.98177,             0.98879,             0.90975,            0.010394,           0.0046916,           0.0019439,           0.0013375,           0.0013375,           0.0013375
                 107,            0.013049,           0.0071781,           0.0037019,             0.97535,             0.98159,             0.98879,             0.90991,            0.010389,           0.0046864,           0.0019309,            0.001255,            0.001255,            0.001255
                 108,            0.012801,           0.0070644,            0.003606,             0.97524,             0.98183,             0.98879,             0.91004,            0.010386,           0.0046829,           0.0019173,           0.0011725,           0.0011725,           0.0011725
                 109,            0.012712,           0.0070576,           0.0035926,             0.97692,             0.97996,             0.98879,             0.90995,            0.010385,            0.004679,           0.0019036,             0.00109,             0.00109,             0.00109
                 110,            0.012505,           0.0070056,           0.0034295,             0.97736,             0.97973,             0.98881,                0.91,            0.010381,           0.0046731,           0.0018893,           0.0010075,           0.0010075,           0.0010075
                 111,            0.012423,           0.0070565,           0.0034873,             0.97758,              0.9797,             0.98882,              0.9099,            0.010379,            0.004668,           0.0018748,            0.000925,            0.000925,            0.000925
                 112,            0.012434,           0.0069518,           0.0034878,             0.97742,             0.97973,             0.98883,              0.9104,            0.010372,           0.0046644,           0.0018601,           0.0008425,           0.0008425,           0.0008425
                 113,            0.012229,           0.0069009,           0.0033373,             0.97716,             0.97992,             0.98884,             0.91059,            0.010363,           0.0046602,           0.0018453,             0.00076,             0.00076,             0.00076
                 114,            0.012047,           0.0068253,           0.0033137,             0.97724,             0.98002,             0.98884,               0.911,            0.010358,            0.004656,           0.0018306,           0.0006775,           0.0006775,           0.0006775
                 115,            0.011695,           0.0067869,           0.0031314,             0.97734,             0.98007,             0.98886,             0.91069,            0.010359,           0.0046523,           0.0018151,            0.000595,            0.000595,            0.000595
                 116,            0.011712,           0.0067507,           0.0032171,             0.97658,             0.98101,             0.98888,              0.9109,            0.010351,           0.0046477,           0.0017989,           0.0005125,           0.0005125,           0.0005125
                 117,            0.011554,           0.0067449,            0.003046,             0.97777,             0.97972,             0.98889,             0.91107,            0.010349,           0.0046443,           0.0017821,             0.00043,             0.00043,             0.00043
                 118,            0.011377,           0.0066827,           0.0030588,             0.97774,             0.97981,             0.98888,             0.91121,            0.010346,           0.0046404,           0.0017656,           0.0003475,           0.0003475,           0.0003475
                 119,            0.011242,           0.0066312,           0.0030377,             0.97773,             0.97987,             0.98889,             0.91125,            0.010345,           0.0046372,           0.0017489,            0.000265,            0.000265,            0.000265
